tweet_id,tweet_url,author,text,likes,retweets,hashtags
1.95563E+18,https://x.com/Ravisutanjani/status/1955634163853443142,@Ravisutanjani," Rapido Launched Food Delivery App

'Ownly' App is Live in Select Areas in Bengaluru

Will Be Expanded To Delhi NCR and Mumbai 

Rapido Will Follow Flat Commission Model

Good To See Competitor of Zomato and Swiggy",1600,112,
1.95451E+18,https://x.com/Windsofchange72/status/1954505844764344547,@Windsofchange72,"No this is not true. My Amazon parcels lie outside the door, nobody steals it.

Zomato delivery boys leave their bikes full of packages and go for delivery rounds and no one steals it. 

Numerous instances of people returning lost things and wallets.",7,1,
1.95526E+18,https://x.com/ashokbansal/status/1955262712012796045,@ashokbansal,@CPMumbaiPolice @DGPMaharashtra The traffic in Mumbai is worsening each day because of Swiggy and Zomato. The schemes of payment to poor delivery persons are such that these persons are putting their own lives and the lives of others at risk to complete as many trips as possible,2,0,
1.95444E+18,https://x.com/whereis_soumya/status/1954441846601416823,@whereis_soumya,Paisa dedo ham bhi zomato se bhejwa denge,16,0,
1.95377E+18,https://x.com/Alakesh_Phy/status/1953765191763866013,@Alakesh_Phy,"I don’t know if Zomato has made my life easier, or me lazier.",3,0,
1.95659E+18,https://x.com/ProteinEnforcer/status/1956594188889284725,@ProteinEnforcer,"Don’t be lazy.

20–30 min meal prep a day keeps Zomato, Swiggy & Zepto away.

30–40 min walk keeps fat away.

Discipline > excuses.",2,0,
1.95418E+18,https://x.com/AeroAwcs/status/1954177550227312878,@AeroAwcs,"India doesn't have festivities, it has hectivities. Everything is super hectic on festivals. Mithaai ki dukaan is full of zomato/uber staff. 
They have to work hard during peak time, so that they can afford some gifts for their sisters, while we can spend more time home. Hectic!",2,1,
1.9566E+18,https://x.com/lordelyricb0t/status/1956598787998203906,@lordelyricb0t,Imagine living here and STILL not getting food sabudana kichdi on zomato ,4,1,
1.95551E+18,https://x.com/chandkpaarchalo/status/1955508259931976151,@chandkpaarchalo,"Aajkal Ka Pyar: Zomato Jaisa Ho Gaya Hai

Aajkal extra-marital affair koi mushkil cheez nahi reh gayi hai. Sab kuch social media par available hai....jaise Zomato par har dish milti hai, waise hi har tarah ka “attention” bhi mil jata hai. Kabhi bhi, kisi bhi waqt... bas ek click",70,15,
1.95388E+18,https://x.com/nahiyaaaaar/status/1953875575900148157,@nahiyaaaaar,"Even if your daily data limit is over, you can still order food from zomato/Swiggy and make payment through Paytm app. 

Capitalist nexus is amazing.",26,1,
1.95517E+18,https://x.com/twinkythough/status/1955174212550729813,@twinkythough,How I be like when I save Rs 10 on the same order by ordering it from zomato.,280,3,
1.95442E+18,https://x.com/TGPWU/status/1954417521089777915,@TGPWU," Hyderabad | 9 Aug 2025, 9:30 PM Near TKR Kaman, 
@zomato
 delivery Worker falls into drainage during heavy rain — bike & phone gone. ₹10 rain bonus = worker’s life, 
@deepigoyal
 


@TelanganaCMO
 
@revanth_anumula
 
@Ponnam_INC


@VivekVenkatswam


#TGPWU #ShaikSalauddin #GigWorkers",85,44,"['#TGPWU', '#ShaikSalauddin', '#GigWorkers']"
1.95587E+18,https://x.com/TimesNow/status/1955871829165281460,@TimesNow,Rapido Challenges Swiggy & Zomato - Launches Ownly App With Zero-Commission Food Delivery,0,1,
1.95439E+18,https://x.com/Marswalkerr/status/1954387909697814936,@Marswalkerr,"After the GT engine update from LAT aerospace, I’m only ordering from Zomato.",34,3,
1.95303E+18,https://x.com/albinder/status/1953034121514742001,@albinder,"Today, we hosted our first Access-Ability Conclave at Eternal. The objective was to gather feedback on the Zomato and Blinkit apps from the visually challenged community and share our plan to make our products more accessible and inclusive.

We listened, observed and tried to",81,7,
1.95418E+18,https://x.com/shuklakanika01/status/1954179983573651762,@shuklakanika01,"""Agar kisi cheez ko pure dil se chaho, toh puri kaynaat usse tumse milane ki koshish mein lag jaati hai""
Accha, Kaynat itni free hai kya? 
Abhi main pure dil se Rolls Royce maang lun toh aa jaayegi?  
Kaynat hai woh, zomato nahi
Matlab kuch bhi ",60,2,
1.95384E+18,https://x.com/Snehalsays_03/status/1953835013239451776,@Snehalsays_03,"Cutting par hu, yeh sab mat dikhao  
Mera zomato khul jayega 🫩",16,0,
1.95375E+18,https://x.com/tarun_mayank/status/1953753013002416550,@tarun_mayank,"Hey @mrtechpedia,
Here’s a suggestion for your latest video regarding @zomato notifications: as you can see, unnecessary notifications can be turned off.",2,0,
1.95532E+18,https://x.com/KazumaArataki/status/1955318654180135343,@KazumaArataki,Makes zero sense to me that booking from the theatre's app charges the same convenience fee as apps like bms or district/zomato. Why would i choose your shitty interface app over the better more established app if it costs the same,3,0,
1.95609E+18,https://x.com/WhotheeG/status/1956093047911145777,@WhotheeG,2 bajte hi zomato khol leta hu,4,1,
1.95498E+18,https://x.com/JangawadPraveen/status/1954982527619191054,@JangawadPraveen,"Have you ever encountered rawness of being attacked by stray dogs ? Please ask Swiggy zomato delivery guys, small kids playing on streets, they might change your opinion.",2,0,
1.95599E+18,https://x.com/OmCodex_tweets/status/1955993222158676013,@OmCodex_tweets,"Just wrapped up my deep dive into the Zomato dataset.
Explored cities, cuisines, ratings, costs, and the little patterns that shape the dining scene.
Numbers tell stories—this one was all about food.
Data is the secret ingredient that turns observation into insight.",3,0,
1.95531E+18,https://x.com/ten_on_tan/status/1955314708027965528,@ten_on_tan,"i used to look out the window to see if it's raining. nowadays, i just open zomato or swiggy.",14,1,
1.6617E+18,https://x.com/kittuskatori/status/1661703730646114304,@kittuskatori,deleting Swiggy and zomato for mental peace,0,0,
