tweet_id,tweet_url,author,text,likes,retweets,hashtags,cleaned_tokens,cleaned_text_str
1.95555e+18,https://x.com/AnikCha95356308/status/1955547845156802905,@AnikCha95356308,"Why is EVERY e-commerce platform in India charging random extra fees?
*Handling Fee
*Payment Handling Fee
*Protect Promise Fee(seriously,what is this?)
Flipkart Amazon Swiggy Zomato all doing it.We’re already paying for the product, delivery,GST — now these hidden charges?",3,0,,"['every', 'ecommerce', 'platform', 'india', 'charging', 'random', 'extra', 'fees', 'handling', 'fee', 'payment', 'handling', 'fee', 'protect', 'promise', 'feeseriouslywhat', 'flipkart', 'amazon', 'swiggy', 'zomato', 'itwere', 'already', 'paying', 'product', 'deliverygst', 'hidden', 'charges']",every ecommerce platform india charging random extra fees handling fee payment handling fee protect promise feeseriouslywhat flipkart amazon swiggy zomato itwere already paying product deliverygst hidden charges
1.95452e+18,https://x.com/nandanakalam/status/1954517585753502090,@nandanakalam,"Hack stories 08/08/25
Devaki Nandana
Being the most zeptoish and starbucks woman, I managed to work out of Asia’s largest MVRLA factory with bare network (forget about Zepto/ Zomato). I automated the assembly floor and now onto warehouse automations?",3,0,,"['hack', 'stories', 'devaki', 'nandana', 'zeptoish', 'starbucks', 'woman', 'managed', 'work', 'asias', 'largest', 'mvrla', 'factory', 'bare', 'network', 'forget', 'zepto', 'zomato', 'automated', 'assembly', 'floor', 'onto', 'warehouse', 'automations']",hack stories devaki nandana zeptoish starbucks woman managed work asias largest mvrla factory bare network forget zepto zomato automated assembly floor onto warehouse automations
1.95632e+18,https://x.com/UltimateDeall/status/1956321711156334863,@UltimateDeall,"Zomato Gold for 3 months at just ₹1!  Hurry, open your Zomato app now!

#ccgeek #Zomato #IndependenceDay #discountcode",3,0,"['#ccgeek', '#Zomato', '#IndependenceDay', '#discountcode']","['zomato', 'gold', 'months', 'hurry', 'open', 'zomato', 'app']",zomato gold months hurry open zomato app
1.95381e+18,https://x.com/MarketingMind_/status/1953811601578242500,@MarketingMind_,"This news comes after Shah Rukh Khan was seen in Zomato’s new ad campaign, Fuel Your Hustle.

#MarketingMind #ShahRukhKhan #Zomato #WhatsBuzzing",960,238,"['#MarketingMind', '#ShahRukhKhan', '#Zomato', '#WhatsBuzzing']","['news', 'comes', 'shah', 'rukh', 'khan', 'seen', 'zomatos', 'new', 'ad', 'campaign', 'fuel', 'hustle']",news comes shah rukh khan seen zomatos new ad campaign fuel hustle
1.95274e+18,https://x.com/anushkag319/status/1952743870938206425,@anushkag319,Swiggy >>>> Zomato. Always ,23,0,,"['swiggy', 'zomato', 'always']",swiggy zomato always
1.95334e+18,https://x.com/Srivstv_ji/status/1953337650443636923,@Srivstv_ji,"Babe di full a kirpa 
@zomato ji ",18,1,,"['babe', 'di', 'full', 'kirpa', 'ji']",babe di full kirpa ji
1.95423e+18,https://x.com/cap_ta7n/status/1954226234965336543,@cap_ta7n,moodevi..bookmyshow nu nenachu zomato kula poitruka,210,8,,"['moodevibookmyshow', 'nu', 'nenachu', 'zomato', 'kula', 'poitruka']",moodevibookmyshow nu nenachu zomato kula poitruka
1.95588e+18,https://x.com/startupexitsind/status/1955880680069435458,@startupexitsind," Rapido enters food delivery with 'Ownly' in Bengaluru, takes on Zomato and Swiggy.

 The company will charge a fixed fee of Rs 25 on orders below Rs 400 and Rs 50 on orders over Rs 400.
#Rapido #banglore #India #ownly",8,0,"['#Rapido', '#banglore', '#India', '#ownly']","['rapido', 'enters', 'food', 'delivery', 'ownly', 'bengaluru', 'takes', 'zomato', 'swiggy', 'company', 'charge', 'fixed', 'fee', 'rs', 'orders', 'rs', 'rs', 'orders', 'rs']",rapido enters food delivery ownly bengaluru takes zomato swiggy company charge fixed fee rs orders rs rs orders rs
1.9564e+18,https://x.com/livingraves/status/1956403658783940790,@livingraves,Don't call me pretty zomato food for me,28,0,,"['dont', 'call', 'pretty', 'zomato', 'food']",dont call pretty zomato food
1.95528e+18,https://x.com/siddharthbosee/status/1955278072703246511,@siddharthbosee,really wanna know what swiggy/zomato or any other delivery boys have to say in the street dogs verdict,3,0,,"['really', 'wan', 'na', 'know', 'swiggyzomato', 'delivery', 'boys', 'say', 'street', 'dogs', 'verdict']",really wan na know swiggyzomato delivery boys say street dogs verdict
1.95376e+18,https://x.com/rahulsavita110/status/1953761159712321773,@rahulsavita110,"I have normalised this everyday.  
Visible improvement in daily activity , sleep,skin health and bowels . 
Best part is it is very pocket friendly 3 weeks worth of salad won't cost more than one or 2 swiggy_zomato orders .
This  is a zero risk high return investment .",11,1,,"['normalised', 'everyday', 'visible', 'improvement', 'daily', 'activity', 'sleepskin', 'health', 'bowels', 'best', 'part', 'pocket', 'friendly', 'weeks', 'worth', 'salad', 'wont', 'cost', 'one', 'swiggyzomato', 'orders', 'zero', 'risk', 'high', 'return', 'investment']",normalised everyday visible improvement daily activity sleepskin health bowels best part pocket friendly weeks worth salad wont cost one swiggyzomato orders zero risk high return investment
1.95593e+18,https://x.com/shrisachin1604/status/1955929615517565279,@shrisachin1604," Rapido is taking on Swiggy & Zomato!
The mobility giant has quietly launched Ownly, a standalone food delivery app, in Koramangala & HSR Layout, Bengaluru
Flat, transparent pricing.Low restaurant commissions.
@entrack @upadhyay_harsh1",7,6,,"['rapido', 'taking', 'swiggy', 'zomato', 'mobility', 'giant', 'quietly', 'launched', 'ownly', 'standalone', 'food', 'delivery', 'app', 'koramangala', 'hsr', 'layout', 'bengaluru', 'flat', 'transparent', 'pricinglow', 'restaurant', 'commissions']",rapido taking swiggy zomato mobility giant quietly launched ownly standalone food delivery app koramangala hsr layout bengaluru flat transparent pricinglow restaurant commissions
1.95335e+18,https://x.com/primal_brainer/status/1953351226122174855,@primal_brainer,"i met this director at zomato back in sep '24. he had dropped out of his mba at ISB to join indmoney, and eventually moved to zomato.

he told me, people either see him as someone who threw away a big opportunity, or someone with guts.

i asked him what he thinks i should do.

he",28,0,,"['met', 'director', 'zomato', 'back', 'sep', 'dropped', 'mba', 'isb', 'join', 'indmoney', 'eventually', 'moved', 'zomato', 'told', 'people', 'either', 'see', 'someone', 'threw', 'away', 'big', 'opportunity', 'someone', 'guts', 'asked', 'thinks']",met director zomato back sep dropped mba isb join indmoney eventually moved zomato told people either see someone threw away big opportunity someone guts asked thinks
1.95532e+18,https://x.com/Courage18203/status/1955322736999534915,@Courage18203,I was craving too hard for noodles and ordered it from @zomato which took around 50 minutes to get delivered and this is what I got ... Fried rice ...I am sick of rice now... Is this way how you give services to your customers? @zomatocare @deepigoyal,3,0,,"['craving', 'hard', 'noodles', 'ordered', 'took', 'around', 'minutes', 'get', 'delivered', 'got', 'fried', 'rice', 'sick', 'rice', 'way', 'give', 'services', 'customers']",craving hard noodles ordered took around minutes get delivered got fried rice sick rice way give services customers
1.95563e+18,https://x.com/Ravisutanjani/status/1955634163853443142,@Ravisutanjani," Rapido Launched Food Delivery App

'Ownly' App is Live in Select Areas in Bengaluru

Will Be Expanded To Delhi NCR and Mumbai 

Rapido Will Follow Flat Commission Model

Good To See Competitor of Zomato and Swiggy",1600,112,,"['rapido', 'launched', 'food', 'delivery', 'app', 'ownly', 'app', 'live', 'select', 'areas', 'bengaluru', 'expanded', 'delhi', 'ncr', 'mumbai', 'rapido', 'follow', 'flat', 'commission', 'model', 'good', 'see', 'competitor', 'zomato', 'swiggy']",rapido launched food delivery app ownly app live select areas bengaluru expanded delhi ncr mumbai rapido follow flat commission model good see competitor zomato swiggy
